Position,247 Comp.,247 or Prepstar,Cl1,Era,ESPN/ Lemming,Ht/Wt*1,Last Year1,Name1,NFL Draft (group),NFL Draft1,Offense/Defense,"On3, Scout or Superprep",Past/Present/Future,Past/Present/Future (copy),Rivals or NRA,Pos1,Position (group),UM rk,☆S
G,"0.9537 (#2 OG), #95 OVR","95 (#3 OG), #65 OVR",2013 (Hoke),2011-'14 (Hoke),"84 (#2 OG), #91 OVR",6'5/280,2016,David Dawson,Not Drafted,Not Drafted,True,"4* (#7 OG), #144 OVR",Former players,Former players,"5.8 (#9 OG), #165 OVR",OG,Offense,13,4.48
G,"0.9616 (#10 OT), #99 OVR",-,2004 (Carr),1995-'07 (Carr),Lemming: #9 G/C,6'4/290,2007,Brett Gallimore,Not Drafted,Not Drafted,True,"4* (#14 OL), #97 OVR",Former players,Former players,"5.9 (#10 OT), #96 OVR",OG,Offense,14,4.46
G,"0.9467 (#3 OG), #104 OVR","95 (#1 OG), #65 OVR",2016 (Harbaugh),2015-> (Harbaugh),"83 (#8 OG), #130 OVR",6'3/360,2019,Michael Onwenu,2nd Day (Rnd 4-7),6th,True,"4* (#9 OG), #140 OVR",Former players,Former players,"5.9 (#7 OG), #147 OVR",OG,Offense,15,4.44
G,-,-,1992 (Moeller),1990-'94 (Moeller),Lemming: #7 OG,6'4/275,1996,Harold Goodwin,Not Drafted,Not Drafted,True,-,Former players,Former players,-,OG,Offense,16,4.38
G,"0.9452 (#15 OT), #113 OVR","95 (#15 OT), #99 OVR",2017 (Harbaugh),2015-> (Harbaugh),"83 (#13 OT), #137 OVR",6'6/335,2021,Chuck Filiaga,Still in College,2023,True,"4* (#16 OT), #139 OVR",Former players,Former players,"5.8 (#16 OT), #175 OVR",OG,Offense,17,4.37
C,-,-,2000 (Carr),1995-'07 (Carr),"Lemming: #10 OT, #112 OVR",6'5/295,2004,David Baas,1st Day (Rnd 1-3),2nd,True,Superprep: #22 FL,Former players,Former players,3* (#29 OL),C,Offense,18,4.35
G,-,"BCI: #3 OL Midwest, All American",1995 (Carr),1995-'07 (Carr),"Lemming: #12 OT, #18 MW",6'7/240,1999,Chris Ziemann,UDFA,UDFA,True,"Superprep: #24 OL, #24 MW (AA)",Former players,Former players,-,OG,Offense,19,4.34
G,-,Athlon's: #27 Big Ten,1996 (Carr),1995-'07 (Carr),"Lemming:
 #11 OT, #30 SE (AA3t)",6'5/275,2000,Steve Hutchinson,1st Day (Rnd 1-3),1st,True,"Superprep: #23 DL, #23 FL (AA)",Former players,Former players,-,OG,Offense,20,4.32
G,-,"BlueChip Illustrated: #17 OL, All American",1993 (Moeller),1990-'94 (Moeller),"Lemming:#2 OG, All American",6'3/292,1995,Joe Ries,Not Drafted,Not Drafted,True,Superprep: #31 OL (AA),Former players,Former players,-,OG,Offense,21,4.32
G,"0.9295 (#10 OG), #174 OVR","92 (#9 OG), #179 OVR",2019 (Harbaugh),2015-> (Harbaugh),"83 (#5 OG), #182 OVR",6'3/290,2021,Nolan Rumler,Still in College,2025,True,"4* (#15 OT), #125 OVR",Former players,Former players,"5.8 (#10 OG), #199 OVR",OG,Offense,22,4.31
G,-,BlueChip Illustrated: 1st Team All American,1993 (Moeller),1990-'94 (Moeller),"Lemming:#29 OG, #55 SE",6'5/280,1997,Zach Adami,Not Drafted,Not Drafted,True,"Superprep: #30 OL, #3 AR (AA)",Former players,Former players,-,OG,Offense,23,4.29
G,"0.9288 (#16 OT), #176 OVR","92 (#19 OT), #184 OVR",2019 (Harbaugh),2015-> (Harbaugh),"83 (#16 OT), #171 OVR",6'6/310,On Team,Trevor Keegan,Still in College,2025,True,-,Current players,Current players,"5.8 (#22 OT), #208 OVR",OG,Offense,24,4.27
G,-,-,2000 (Carr),1995-'07 (Carr),"Lemming: #16 G/C, #162 OVR",6'5/255,2003,Jeff Gaston,Not Drafted,Not Drafted,True,Superprep: #10 OL,Former players,Former players,3* (#30 OL),OG,Offense,25,4.26
C,-,Athlon's: #40 Big Ten,1996 (Carr),1995-'07 (Carr),"Lemming: #27 DT, #21 MW",6'4/265,2000,David Brandt,UDFA,UDFA,True,"Superprep: #15 DL, #9 MW (AA)",Former players,Former players,All-Am (#7 NT),C,Offense,26,4.2
G,"0.9 (#9 OG), #184 OVR",-,2005 (Carr),1995-'07 (Carr),-,6'5/270,2009,David Moosman,Not Drafted,Not Drafted,True,4* (#17 OL),Former players,Former players,5.8 (#11 OG),OG,Offense,27,4.2
G,-,Prepstar: #2 TE MW,1998 (Carr),1995-'07 (Carr),-,6'4/260,2002,Dave Petruziello,Not Drafted,Not Drafted,True,"Superprep: #5 LG-ATH, #15 MW",Former players,Former players,6.0 (#7 TE),OG,Offense,28,4.16
G,"0.8667 (#17 OG), #243 OVR",-,2003 (Carr),1995-'07 (Carr),"Lemming: #9 G/C, #80 OVR",6'4/276,2003,Jeff Zuttah,Not Drafted,Not Drafted,True,3* (#45 OL),Former players,Former players,5.9 (#5 OG),OG,Offense,29,4.14
G,-,-,1991 (Moeller),1990-'94 (Moeller),Lemming: #11 OG,6'4/289,1995,Paul Barry,Not Drafted,Not Drafted,True,-,Former players,Former players,-,OG,Offense,30,4.13
G,"0.9178 (#15 IOL), #210 OVR","90 (#20 IOL), #356 OVR",2021 (Harbaugh),2015-> (Harbaugh),"82 (#3 OC), #241 OVR",6'3/298,On Team,Raheem Anderson,Still in High School,2026,True,-,Current players,Current players,"5.8 (#2 OC), #168 OVR",OG,Offense,31,4.13
G,"0.9 (#13 OT), #149 OVR",-,2003 (Carr),1995-'07 (Carr),Lemming: #11 TE,6'6/270,2007,Adam Kraus,Not Drafted,Not Drafted,True,4* (#24 OL),Former players,Former players,"5.8 (#10 OT), #7 LA",OG,Offense,32,4.12
G,"0.8556 (#30 OT), #415 OVR",-,2004 (Carr),1995-'07 (Carr),Lemming: #9 OT,6'4/275,2007,Jeremy Ciulla,Not Drafted,Not Drafted,True,4* (#18 OL),Former players,Former players,"5.7 (#26 OT), #19 GA",OG,Offense,33,4.11
G,-,"Prepstar: #8 DL, #1 DL East",1997 (Carr),1995-'07 (Carr),"Lemming: #21 ILB, #62 MW",6'4/230,2001,Kurt Anderson,Not Drafted,Not Drafted,True,"Superprep: #11 LB, #7 MW",Former players,Former players,5.8 (#NR LB),OG,Offense,34,4.09
G,"0.8938 (#29 OT), #298 OVR",-,2008 (Rodriguez),2008-'10 (Rodriguez),"81 (#4 OG), #150 OVR",6'3/246,2012,Ricky Barnum,Not Drafted,Not Drafted,True,3* (#17 OG),Former players,Former players,"5.8 (#5 OC), #37 FL",OG,Offense,35,4.08
G,-,BCI: 2nd tm AA,1994 (Moeller),1990-'94 (Moeller),"Lemming:#10 OG, #100 Southeast",6'4/294,1998,Noah Parker,Not Drafted,Not Drafted,True,"Superprep: #16 OL, #22 FL (AA)",Former players,Former players,5.7 (#NR OG),OG,Offense,36,4.07
