Year,CBSA,CO1-hr2ndMax,CO8-hr2ndMax,NO298th%ile,NO2AnnualMean,O3 1-hr2nd Max,O3 8-hr4th Max,SO299th %ile,SO2 24-hr2nd Max,SO2AnnualMean,PM2.598th %ile,PM2.5Wtd.Mean,PM10 24-hr2nd Max,PM10Annual Mean,Lead Max3-Mo. Avg
1980,Port St. Lucie FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Prescott AZ,16.5,5.6,0,0,0,0,0,0,0,0,0,0,0,0
1980,Prineville OR,0,0,0,0,0.08,0.064,0,0,0,0,0,0,0,0
1980,Providence-Warwick RI-MA,17.1,12.4,0,35,0.21,0.133,214,102,15,0,0,0,0,0
1980,Provo-Orem UT,20,13.1,110,30,0.11,0.077,0,0,0,0,0,0,0,0
1980,Pueblo CO,16.5,6.2,0,0,0,0,0,0,0,0,0,0,0,0
1980,Punta Gorda FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Quincy IL-MO,0,0,0,0,0.09,0.078,0,0,0,0,0,0,0,0
1980,Racine WI,7,3.6,0,0,0.15,0.111,102,32,7,0,0,0,0,0
1980,Raleigh NC,24.6,11,0,0,0.13,0.101,0,0,0,0,0,0,0,0
1980,Rapid City SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Reading PA,6.7,3.6,0,0,0.14,0.099,154,51,14,0,0,0,0,0
1980,Redding CA,0,0,0,0,0.11,0.095,0,0,0,0,0,0,0,0
1980,Reno NV,21.4,18.3,0,0,0.1,0.066,0,0,0,0,0,0,0,0
1980,Richmond VA,18,12.2,0,30,0.13,0.093,150,48,15,0,0,0,0,0
1980,Richmond-Berea KY,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Riverside-San Bernardino-Ontario CA,15,8,190,50,0.38,0.271,80,18,5,0,0,0,0,0
1980,Roanoke VA,0,0,0,0,0.11,0.083,0,0,0,0,0,0,0,0
1980,Roanoke Rapids NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Rochester MN,24,12.6,0,0,0,0,215,80,10,0,0,0,0,0
1980,Rochester NY,10.4,5.3,0,0,0.12,0.089,295,112,26,0,0,0,0,0
1980,Rockford IL,0,0,0,0,0.09,0,35,18,5,0,0,0,0,0
1980,Rock Springs WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Rome GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Sacramento--Roseville--Arden-Arcade CA,24,12.9,130,28,0.17,0.115,0,0,0,0,0,0,0,0
1980,Safford AZ,0,0,0,0,0.09,0.081,1349,228,38,0,0,0,0,0
1980,Saginaw MI,15.3,9.8,0,0,0.1,0.08,105,50,6,0,0,0,0,0
1980,St. Cloud MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,St. Louis MO-IL,20.9,13.6,103,35,0.18,0.124,245,69,23,0,0,0,0,0
1980,Salem OH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Salem OR,17.5,9.2,0,0,0,0,0,0,0,0,0,0,0,0
1980,Salinas CA,5,3.1,90,16,0.1,0.078,0,0,0,0,0,0,0,0
1980,Salisbury MD-DE,0,0,0,0,0,0,100,32,2,0,0,0,0,0
1980,Salt Lake City UT,19,14.9,0,32,0.17,0.112,200,107,11,0,0,0,0,0
1980,San Angelo TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,San Antonio-New Braunfels TX,18.5,8.5,0,0,0.12,0.092,0,0,0,0,0,0,0,0
1980,San Diego-Carlsbad CA,14,8.8,170,36,0.22,0.158,50,26,8,0,0,0,0,0
1980,Sandusky OH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,San Francisco-Oakland-Hayward CA,13,7.4,110,29,0.18,0.1,80,24,4,0,0,0,0,0
1980,San Jose-Sunnyvale-Santa Clara CA,24,15.6,0,0,0.16,0.1,0,0,0,0,0,0,0,0
1980,San Juan-Carolina-Caguas PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,San Luis Obispo-Paso Robles-Arroyo Grande CA,10,4.2,90,17,0.1,0.077,140,23,4,0,0,0,0,0
1980,Santa Cruz-Watsonville CA,0,0,60,12,0.11,0.066,0,0,0,0,0,0,0,0
1980,Santa Fe NM,13,6.6,0,0,0,0,0,0,0,0,0,0,0,0
1980,Santa Maria-Santa Barbara CA,16,11,120,27,0.13,0.095,60,11,2,0,0,0,0,0
1980,Santa Rosa CA,13,7.1,100,20,0.1,0.055,0,0,0,0,0,0,0,0
1980,Savannah GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Scottsboro AL,0,0,0,0,0,0,740,181,10,0,0,0,0,0
1980,Scranton--Wilkes-Barre--Hazleton PA,6.7,5.3,0,0,0.15,0.096,100,72,12,0,0,0,0,0
1980,Seattle-Tacoma-Bellevue WA,20,11.9,0,20,0.09,0.065,300,46,8,0,0,0,0,0
1980,Sheboygan WI,0,0,79,9,0.14,0.108,326,53,5,0,0,0,0,0
1980,Shreveport-Bossier City LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Sierra Vista-Douglas AZ,15,4.1,0,0,0,0,0,0,0,0,0,0,0,0
1980,Silver City NM,0,0,0,0,0,0,380,64,5,0,0,0,0,0
1980,Sioux City IA-NE-SD,2.4,1.9,0,0,0,0,0,0,0,0,0,0,0,0
1980,Sioux Falls SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Somerset KY,0,0,0,0,0.08,0.067,0,0,0,0,0,0,0,0
1980,Sonora CA,26,15.1,0,0,0,0,0,0,0,0,0,0,0,0
1980,South Bend-Mishawaka IN-MI,0,0,0,0,0.15,0.119,0,0,0,0,0,0,0,0
1980,Spokane-Spokane Valley WA,28,16.6,0,0,0.06,0.045,130,39,10,0,0,0,0,0
1980,Springfield IL,14.2,10.2,0,0,0,0,382,81,13,0,0,0,0,0
1980,Springfield MA,13,9.4,0,0,0,0,0,0,0,0,0,0,0,0
1980,Springfield MO,0,0,0,0,0,0,250,76,4,0,0,0,0,0
1980,Springfield OH,0,0,0,0,0.13,0.094,0,0,0,0,0,0,0,0
